Batch 196 loss: 384636.937500
Batch 197 loss: 185402.671875
Batch 198 loss: 207966.250000
Batch 199 loss: 127472.210938
Batch 200 loss: 130001.140625
Batch 201 loss: 173058.671875
Batch 202 loss: 1479491.875000
Batch 203 loss: 165414.531250
Batch 204 loss: 72535.914062
Batch 205 loss: 142653.984375
Batch 206 loss: 145162.078125
Batch 207 loss: 118053.328125
Batch 208 loss: 127491.664062
Batch 209 loss: 130166.148438
Batch 210 loss: 1216429.750000
Batch 211 loss: 214765.171875
Batch 212 loss: 208205.593750
Batch 213 loss: 1559131.250000
Batch 214 loss: 143859.406250
Batch 215 loss: 206059.718750
Batch 216 loss: 134765.265625
Batch 217 loss: 193102.406250
Batch 218 loss: 66896.992188
Batch 219 loss: 121218.953125
Batch 220 loss: 193247.312500
Batch 221 loss: 80217.429688
Batch 222 loss: 175537.093750
Batch 223 loss: 78073.289062
Batch 224 loss: 1679191.625000
Batch 225 loss: 66160.414062
Batch 226 loss: 1748315.000000
Batch 227 loss: 144849.156250
Batch 228 loss: 55966.726562
Batch 229 loss: 160191.156250
Batch 230 loss: 64780.632812
Batch 231 loss: 126603.015625
Batch 232 loss: 207432.734375
Batch 233 loss: 190111.296875
Batch 234 loss: 2228697.500000
Batch 235 loss: 94231.312500
Batch 236 loss: 221968.875000
Batch 237 loss: 116197.398438
Batch 238 loss: 1768025.375000
Batch 239 loss: 3145650.500000
Batch 240 loss: 1872320.750000
Batch 241 loss: 220523.375000
Batch 242 loss: 40173.351562
Batch 243 loss: 192162.593750
Batch 244 loss: 117606.226562
Batch 245 loss: 97560.859375
Batch 246 loss: 120616.773438
Batch 247 loss: 101172.625000
Batch 248 loss: 220982.328125
Batch 249 loss: 1603610.250000
Batch 250 loss: 240739.078125
Batch 251 loss: 157316.062500
Batch 252 loss: 30209.980469
Batch 253 loss: 2833545.000000
Batch 254 loss: 197003.531250
Batch 255 loss: 194634.250000
Batch 256 loss: 1324208.250000
Batch 257 loss: 206889.093750
Batch 258 loss: 40390.937500
Batch 259 loss: 107302.953125
Batch 260 loss: 203080.906250
Batch 261 loss: 98236.617188
Batch 262 loss: 1790775.250000
Batch 263 loss: 3725265.500000
Batch 264 loss: 455867.187500
Batch 265 loss: 267985.593750
Batch 266 loss: 171618.406250
Batch 267 loss: 2462904.000000
Batch 268 loss: 122966.812500
Batch 269 loss: 100262.789062
Batch 270 loss: 231451.656250
Batch 271 loss: 82408.531250
Batch 272 loss: 242558.625000
Batch 273 loss: 215557.171875
Batch 274 loss: 58360.367188
Batch 275 loss: 57277.792969
Batch 276 loss: 73172.726562
Batch 277 loss: 233905.046875
Batch 278 loss: 127244.296875
Batch 279 loss: 83305.859375
Batch 280 loss: 130125.289062
Batch 281 loss: 206342.734375
Batch 282 loss: 352511.937500
Batch 283 loss: 98883.414062
Batch 284 loss: 164766.234375
Batch 285 loss: 228331.343750
Batch 286 loss: 145075.546875
Batch 287 loss: 150549.546875
Batch 288 loss: 124918.250000
Batch 289 loss: 175719.234375
Batch 290 loss: 48401.132812
Batch 291 loss: 96876.484375
Batch 292 loss: 262946.968750
Batch 293 loss: 1600469.000000
Batch 294 loss: 299667.687500
Batch 295 loss: 115123.453125
Batch 296 loss: 1573709.750000
Batch 297 loss: 199657.750000
Batch 298 loss: 174572.031250
Batch 299 loss: 1569534.250000
Batch 300 loss: 168847.609375
Batch 301 loss: 3257356.750000
Batch 302 loss: 140491.375000
Batch 303 loss: 1467562.250000
Batch 304 loss: 200616.328125
Batch 305 loss: 1492052.000000
Batch 306 loss: 95284.726562
Batch 307 loss: 143512.453125
Batch 308 loss: 157206.203125
Batch 309 loss: 144449.953125
Batch 310 loss: 99251.203125
